setting,group,method,split,stationary_error,nonstationary_error
1,data_80_10_space,stsave,"(2, 2, 2)",0.7230638406498204,0.6867326
1,data_80_10_space,stsave,"(3, 3, 3)",0.1559062891224357,0.1113582346438928
1,data_80_10_space,stsave,"(4, 4, 4)",0.5675316566766518,0.5209838469190952
1,data_80_10_space,stsir,"(2, 2, 2)",0.72042718,0.6864742217073199
1,data_80_10_space,stsir,"(3, 3, 3)",0.051840505,0.03259736
1,data_80_10_space,stsir,"(4, 4, 4)",0.088805812,0.064892298
1,data_80_10_space_time,random,"(2, 2, 2)",1.196012019714371,1.1908584406570115
1,data_80_10_space_time,random,"(3, 3, 3)",1.1960120197143715,1.1908584406570115
1,data_80_10_space_time,random,"(4, 4, 4)",1.196012019714371,1.1908584406570115
1,data_80_10_space_time,stcomb,"(2, 2, 2)",0.7920728694333197,0.7755983629779828
1,data_80_10_space_time,stcomb,"(3, 3, 3)",0.048990966,0.034810474
1,data_80_10_space_time,stcomb,"(4, 4, 4)",0.2979454390964587,0.275480539
1,data_80_10_space_time,stlcor,"(2, 2, 2)",1.5174917709621472,1.5082619766672298
1,data_80_10_space_time,stlcor,"(3, 3, 3)",1.2749275771439494,1.2596211128562298
1,data_80_10_space_time,stlcor,"(4, 4, 4)",1.568891272931252,1.5528842596723558
1,data_80_10_space_time,stsave,"(2, 2, 2)",0.7844157312766705,0.7667040565592012
1,data_80_10_space_time,stsave,"(3, 3, 3)",0.2060434465081837,0.1736999777121483
1,data_80_10_space_time,stsave,"(4, 4, 4)",0.6219518553162277,0.5975754918437578
1,data_80_10_space_time,stsir,"(2, 2, 2)",0.7761035863813508,0.7588881197175554
1,data_80_10_space_time,stsir,"(3, 3, 3)",0.059474538,0.043918867
1,data_80_10_space_time,stsir,"(4, 4, 4)",0.1678672793800229,0.1446300939463213
1,data_80_10_time,random,"(2, 2, 2)",1.2143876877436104,1.2116414806379547
1,data_80_10_time,random,"(3, 3, 3)",1.2143876877436104,1.2116414806379547
1,data_80_10_time,random,"(4, 4, 4)",1.2143876877436104,1.2116414806379547
1,data_80_10_time,stcomb,"(2, 2, 2)",0.1506351233369815,0.090487856
1,data_80_10_time,stcomb,"(3, 3, 3)",0.102042772,0.035593956
1,data_80_10_time,stcomb,"(4, 4, 4)",0.1594564610585363,0.096328823
1,data_80_10_time,stlcor,"(2, 2, 2)",0.1652655235318517,0.1105132073137843
1,data_80_10_time,stlcor,"(3, 3, 3)",0.1895086493408911,0.1353467941239333
1,data_80_10_time,stlcor,"(4, 4, 4)",0.1662581205889873,0.1046057148439076
1,data_80_10_time,stsave,"(2, 2, 2)",0.2563033,0.2066541724701245
1,data_80_10_time,stsave,"(3, 3, 3)",0.1362380070962603,0.07272725
1,data_80_10_time,stsave,"(4, 4, 4)",0.4877342975855756,0.4494130958469082
1,data_80_10_time,stsir,"(2, 2, 2)",0.9292818295140184,0.9022736223608072
1,data_80_10_time,stsir,"(3, 3, 3)",0.1085580731491003,0.043187388
1,data_80_10_time,stsir,"(4, 4, 4)",0.1920227089012851,0.1338500054960953
1,data_80_50_space,random,"(2, 2, 2)",1.2070906164501516,1.1928556943078616
1,data_80_50_space,random,"(3, 3, 3)",1.2070906164501518,1.1928556943078616
1,data_80_50_space,random,"(4, 4, 4)",1.2070906164501518,1.1928556943078616
1,data_80_50_space,stcomb,"(2, 2, 2)",0.2958441171444641,0.2695363139446187
1,data_80_50_space,stcomb,"(3, 3, 3)",0.005642043,0.003407563
1,data_80_50_space,stcomb,"(4, 4, 4)",0.007055186,0.00459065
1,data_80_50_space,stlcor,"(2, 2, 2)",1.3485928748697902,1.3237246712789177
1,data_80_50_space,stlcor,"(3, 3, 3)",1.4337411313629147,1.3981180165874445
1,data_80_50_space,stlcor,"(4, 4, 4)",1.4932120706314858,1.462744025406311
1,data_80_50_space,stsave,"(2, 2, 2)",0.3849372329987583,0.3515389912644395
1,data_80_50_space,stsave,"(3, 3, 3)",0.008249515,0.004944183
1,data_80_50_space,stsave,"(4, 4, 4)",0.020506616,0.014205274
1,data_80_50_space,stsir,"(2, 2, 2)",0.4109775953948532,0.3808135392508966
1,data_80_50_space,stsir,"(3, 3, 3)",0.007342814,0.004530951
1,data_80_50_space,stsir,"(4, 4, 4)",0.008225246,0.005508982
1,data_80_50_space_time,random,"(2, 2, 2)",1.185485205255486,1.178681947019667
